Time (s),Temp (�F),Humidity (%), LDR (%)
3,57.80,84.56,20
4,57.80,84.56,20
5,57.80,84.56,20
6,57.80,84.56,20
7,59.70,84.56,20
8,59.70,84.56,19
9,59.90,84.56,19
10,59.90,84.56,19
11,59.30,84.56,20
12,59.30,84.56,20
13,58.60,84.56,20
14,58.60,84.56,20
15,57.90,84.56,12
16,57.90,84.56,20
17,57.40,84.56,76
18,57.40,84.56,96
19,57.50,84.56,97
20,57.50,84.56,97
21,57.50,84.56,98
22,57.50,84.56,98
23,56.90,84.74,98
24,56.90,84.74,98
25,56.80,84.74,98
26,56.80,84.74,98
27,56.70,84.74,95
28,56.70,84.74,90
29,56.50,84.74,81
30,56.50,84.74,85
31,56.30,84.74,94
32,56.30,84.74,96
33,56.30,84.92,98
34,56.30,84.92,98
35,57.00,85.10,98
36,57.00,85.10,98
37,59.00,85.10,98
38,59.00,85.10,98
39,60.40,85.28,98
40,60.40,85.28,98
41,60.80,85.64,98
42,60.80,85.64,98
43,62.70,86.00,98
44,62.70,86.00,98
45,64.00,86.36,98
46,64.00,86.36,98
47,64.30,86.72,98
48,64.30,86.72,98
49,65.60,87.08,98
50,65.60,87.08,98
51,65.20,87.44,98
52,65.20,87.44,97
53,65.50,87.80,28
54,65.50,87.80,27
55,62.60,88.16,47
56,62.60,88.16,53
57,56.70,88.52,53
58,56.70,88.52,22
59,54.60,88.88,20
60,54.60,88.88,16
61,58.30,89.06,15
62,58.30,89.06,14
63,55.60,89.24,13
64,55.60,89.24,13
65,53.70,89.42,8
66,53.70,89.42,8
67,53.00,89.60,52
68,53.00,89.60,52
69,52.60,89.60,3
70,52.60,89.60,3
71,52.40,89.60,3
72,52.40,89.60,53
73,52.10,89.78,53
74,52.10,89.78,53
75,51.90,89.78,53
76,51.90,89.78,23
77,51.70,89.78,27
78,51.70,89.78,27
79,55.70,89.78,35
80,55.70,89.78,35
81,64.20,89.78,18
82,64.20,89.78,30
83,97.20,91.76,28
84,97.20,91.76,26
85,100.00,92.66,26
86,100.00,92.66,30
87,100.00,92.12,27
88,100.00,92.12,23
89,100.00,91.76,45
90,100.00,91.76,22
91,100.00,91.04,19
92,100.00,91.04,50
93,97.90,90.68,53
94,97.90,90.68,53
95,96.70,90.50,53
96,96.70,90.50,53
97,90.30,90.14,53
98,90.30,90.14,53
99,83.50,90.14,53
100,83.50,90.14,53
101,76.90,89.96,53
102,76.90,89.96,53
103,70.90,89.96,53
104,70.90,89.96,53
105,64.40,89.78,53
106,64.40,89.78,53
107,60.20,89.78,53
108,60.20,89.78,53
109,58.30,89.78,53
110,58.30,89.78,52
111,57.00,89.78,53
112,57.00,89.78,53
113,56.10,89.60,53
114,56.10,89.60,52
115,55.40,89.60,53
116,55.40,89.60,53
117,55.10,89.42,53
118,55.10,89.42,53
119,54.70,89.42,53
120,54.70,89.42,53
121,54.10,89.42,53
122,54.10,89.42,53
123,53.90,89.24,53
124,53.90,89.24,53
125,53.70,89.24,53
126,53.70,89.24,53
127,53.60,89.06,53
128,53.60,89.06,53
129,53.40,89.06,53
130,53.40,89.06,53
131,53.30,88.88,53
132,53.30,88.88,53
133,53.20,88.88,53
134,53.20,88.88,53
135,53.10,88.88,34
136,53.10,88.88,51
137,53.00,88.70,51
138,53.00,88.70,52
139,53.00,88.70,52
140,53.00,88.70,52
141,53.10,88.70,52
142,53.10,88.70,52
143,53.20,88.52,52
144,53.20,88.52,52
145,53.20,88.52,52
146,53.20,88.52,52
147,53.10,88.34,52
148,53.10,88.34,51
149,53.10,88.34,51
150,53.10,88.34,51
151,53.40,88.34,51
152,53.40,88.34,51
153,53.50,88.16,51
154,53.50,88.16,51
155,53.40,88.16,51
156,53.40,88.16,51
157,53.60,88.16,51
158,53.60,88.16,53
159,53.60,88.16,53
160,53.60,88.16,53
161,54.00,88.16,53
162,54.00,88.16,53
163,54.00,87.98,53
164,54.00,87.98,53
165,53.80,87.98,52
166,53.80,87.98,52
167,54.70,87.98,52
